creation_date,entity_id,position,impacto,morada,motivo,periodos_condicionamentos,restricao_circulacao,periodos_condicionamentos['date_max']
2023-10-12T23:12:10.000Z,EMEL.condicionamentoTransito.COND-2023-6090-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.112258161,38.739034024],[-9.112102593,38.738768322],[-9.11207443,38.738369768],[-9.111496414,38.738372906],[-9.112073089,38.738370814],[-9.112102593,38.738767276],[-9.112258161,38.739034024],[-9.112274254,38.739322738],[-9.111898745,38.73968049],[-9.11083659,38.7384545],[-9.11116382,38.738379182],[-9.111499096,38.738372906],[-9.111499096,38.738372906],[-9.112075771,38.738374998],[-9.111496414,38.738372906],[-9.111159796,38.738381275],[-9.112074094,38.738369245],[-9.112092535,38.738696143],[-9.11139449,38.739073774]]],""type"":""MultiLineString""}]}",Relevante,"Rua João José Cochofel e Rua Severo Portela/Rua Carlos Gil
{Bairro ds Alfinetes{OR14}",OBRA - FAIXA DE RODAGEM,"[{""end_date"":""1746485940000"",""date_min"":""2023-10-19"",""hour_max"":""23:59:00"",""date_max"":""2025-05-05"",""start_date"":""1697670000000"",""hour_min"":""00:00:00""}]",Corte total,"[""2025-05-05""]"
2023-10-19T13:57:33.000Z,EMEL.condicionamentoTransito.COND-2021-1924-23,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.157376856,38.715183031],[-9.157277614,38.715131756],[-9.157327235,38.71499049]]],""type"":""MultiLineString""}]}",Relevante,Rua de São Bernardo no cruzamento c/a Rua João Anastácio Rosa,OBRA - FAIXA DE RODAGEM,"[{""end_date"":""1710460740000"",""date_min"":""2023-10-20"",""hour_max"":""23:59:00"",""date_max"":""2024-03-14"",""start_date"":""1697756400000"",""hour_min"":""00:00:00""}]",Estacionamento,"[""2024-03-14""]"
2023-10-31T11:15:48.000Z,EMEL.condicionamentoTransito.COND-2023-6475-11,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.150558031,38.720183982],[-9.149766779,38.720604611],[-9.148680485,38.721182186],[-9.146510578,38.722320583],[-9.145781017,38.722734921]]],""type"":""MultiLineString""}]}",Relevante,Rua Barata Salgueiro,PLANTAÇÃO / PODA DE ÁRVORES,"[{""end_date"":""1709920800000"",""date_min"":""2024-02-05"",""hour_max"":""18:00:00"",""date_max"":""2024-03-08"",""start_date"":""1707112800000"",""hour_min"":""06:00:00""}]",Estreitamento de via,"[""2024-03-08""]"
2023-11-02T00:08:45.000Z,EMEL.condicionamentoTransito.COND-2023-6500-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.155858151,38.721490611],[-9.15577232,38.721565946]]],""type"":""MultiLineString""}]}",Relevante,Reservatório Mãe D`Água-Praça das Amoreiras{c.d},EVENTO,"[{""end_date"":""1714517940000"",""date_min"":""2023-11-18"",""hour_max"":""23:59:00"",""date_max"":""2024-04-30"",""start_date"":""1700265600000"",""hour_min"":""00:00:00""},{""end_date"":""1700330400000"",""date_min"":""2023-11-09"",""hour_max"":""18:00:00"",""date_max"":""2023-11-18"",""start_date"":""1699520400000"",""hour_min"":""09:00:00""},{""end_date"":""1715792400000"",""date_min"":""2024-05-01"",""hour_max"":""18:00:00"",""date_max"":""2024-05-15"",""start_date"":""1714550400000"",""hour_min"":""09:00:00""}]",Estacionamento,"[""2024-04-30"",""2023-11-18"",""2024-05-15""]"
2023-11-02T12:13:36.000Z,EMEL.condicionamentoTransito.COND-2023-6511-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.135128298,38.760055157],[-9.145916969,38.756687414],[-9.138359329,38.742659332],[-9.137833617,38.741772306],[-9.136728546,38.740257643],[-9.136631987,38.739914538],[-9.134217999,38.737546232],[-9.134067795,38.737479282],[-9.131385586,38.737705237],[-9.129727981,38.737805661]]],""type"":""MultiLineString""}]}",Relevante,"Alameda da Cidade Universitária, Av.ª do Brasil, Av.ª de Roma, Av.ª Guerra Junqueiro e Alameda D. Afonso Henriques",DESFILE,"[{""end_date"":""1716321600000"",""date_min"":""2024-05-21"",""hour_max"":""21:00:00"",""date_max"":""2024-05-21"",""start_date"":""1716310800000"",""hour_min"":""18:00:00""}]",Cortes temporários,"[""2024-05-21""]"
2023-11-02T14:45:23.000Z,EMEL.condicionamentoTransito.COND-2023-6516-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.10470097,38.737377885],[-9.10369246,38.737172851],[-9.10357176,38.737476218],[-9.103872168,38.736731398]]],""type"":""MultiLineString""}]}",Relevante,Rua do Açúcar {troço entre o nº 86 e a Rua José Domingos Barreiros} e Rua dos Amigos de Lisboa,OBRA - FAIXA DE RODAGEM,"[{""end_date"":""1717196340000"",""date_min"":""2023-11-02"",""hour_max"":""23:59:00"",""date_max"":""2024-05-31"",""start_date"":""1698883200000"",""hour_min"":""00:00:00""}]",Corte total,"[""2024-05-31""]"
2023-11-07T13:59:29.000Z,EMEL.condicionamentoTransito.COND-2023-6622-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.145719173,38.722848761],[-9.1456548,38.723434689],[-9.145821097,38.72409176],[-9.146089318,38.724522829]]],""type"":""MultiLineString""}]}",Relevante,R. de Santa Marta {troço entre a Rua Barata Salgueiro e a Rua Alexandre Herculano},OBRA - FAIXA DE RODAGEM,"[{""end_date"":""1711843140000"",""date_min"":""2023-11-08"",""hour_max"":""23:59:00"",""date_max"":""2024-03-30"",""start_date"":""1699430400000"",""hour_min"":""08:00:00""}]",Corte total,"[""2024-03-30""]"
2023-11-08T10:39:20.000Z,EMEL.condicionamentoTransito.COND-2023-6644-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.160700391,38.738090114],[-9.160287331,38.73801898],[-9.160169314,38.738002243],[-9.160027156,38.738016888],[-9.159852813,38.738073376]]],""type"":""MultiLineString""}]}",Relevante,Avenida Columbano Bordalo Pinheiro {Troço entre a Rua Prof. Lima Bastos e a Av. Madame Curie},OBRA - FAIXA DE RODAGEM,"[{""end_date"":""1717196340000"",""date_min"":""2023-11-13"",""hour_max"":""23:59:00"",""date_max"":""2024-05-31"",""start_date"":""1699862400000"",""hour_min"":""08:00:00""}]",Estreitamento de via,"[""2024-05-31""]"
2023-11-09T11:01:18.000Z,EMEL.condicionamentoTransito.COND-2022-6783-PA-2,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.151303703,38.721836619],[-9.151289287,38.721822232]]],""type"":""MultiLineString""}]}",Relevante, Elevatórias e Rede de Águas Residuais de Lisboa {vários locais},CARGAS E DESCARGAS,"[{""end_date"":""1735689540000"",""date_min"":""2024-01-01"",""hour_max"":""23:59:00"",""date_max"":""2024-12-31"",""start_date"":""1704067200000"",""hour_min"":""00:00:00""}]",Estacionamento,"[""2024-12-31""]"
2023-11-09T11:14:55.000Z,EMEL.condicionamentoTransito.COND-2023-4287-2,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.135473787,38.76004326],[-9.138274013,38.759148084],[-9.141904612,38.757993542],[-9.147247572,38.756253327],[-9.15080158,38.755115472]]],""type"":""MultiLineString""}]}",Relevante,Av. Brasil e Campo Grande - cruzamento entre a Alameda da Universidade/Campo Grande/Av. Brasil,OBRA - FAIXA DE RODAGEM,"[{""end_date"":""1719590400000"",""date_min"":""2023-11-09"",""hour_max"":""17:00:00"",""date_max"":""2024-06-28"",""start_date"":""1699516800000"",""hour_min"":""08:00:00""}]",Estreitamento de via,"[""2024-06-28""]"
2023-11-10T15:24:55.000Z,EMEL.condicionamentoTransito.COND-2023-1290-PA-6,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.128228942,38.727949803],[-9.128770748,38.722454794],[-9.12840312,38.726222617],[-9.127461665,38.726138917],[-9.127509945,38.726038476],[-9.126675778,38.725860612],[-9.12659544,38.725756237],[-9.128239634,38.725283325],[-9.126603487,38.725760422],[-9.125957075,38.72595398],[-9.123760345,38.726419564],[-9.126641035,38.725774369],[-9.128486395,38.725236589],[-9.128615141,38.724056387],[-9.127595901,38.724100331],[-9.127405464,38.724292847],[-9.126726865,38.724464438],[-9.126919628,38.72443494],[-9.12756604,38.72543727]]],""type"":""MultiLineString""}]}",Relevante,Av. General Roçadas/R. Professor Celestino a Rocha/R. Castelo Branco Saraiva/Rua Frei Manuel Cenáculo/R. Vila Gadanho,OBRA - PASSEIO E ESTACION.,"[{""end_date"":""1710180000000"",""date_min"":""2024-01-11"",""hour_max"":""18:00:00"",""date_max"":""2024-03-11"",""start_date"":""1704960000000"",""hour_min"":""08:00:00""}]",Estreitamento de via,"[""2024-03-11""]"
